Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
11:05 a.m. to 11:09 a.m.,556,614,567,0,0,537,634,522,640
11:10 a.m. to 11:14 a.m.,478,900,725,,682,818,227,821,786
11:15 a.m. to 11:19 a.m.,471,793,719,,501,633,0,788,710
11:20 a.m. to 11:24 a.m.,527,841,506,,1080,701,966,937,528
11:25 a.m. to 11:29 a.m.,508,761,806,,,653,1315,776,727
11:30 a.m. to 11:34 a.m.,561,898,436,449,814,681,506,786,740
11:35 a.m. to 11:39 a.m.,583,639,774,2030,,499,1997,863,649
11:40 a.m. to 11:44 a.m.,538,815,514,,0,505,865,898,786
11:45 a.m. to 11:49 a.m.,529,798,0,,2163,671,0,750,805
11:50 a.m. to 11:54 a.m.,431,735,257,1411,0,463,687,811,963
11:55 a.m. to 11:59 a.m.,556,729,558,,,637,1395,708,454
12:00 p.m. to 12:04 p.m.,606,726,721,287,2589,593,597,767,728
12:05 p.m. to 12:09 p.m.,492,651,379,0,1169,701,0,929,749
12:10 p.m. to 12:14 p.m.,567,716,910,0,972,585,,964,721
12:15 p.m. to 12:19 p.m.,498,692,903,,0,674,1185,837,588
12:20 p.m. to 12:24 p.m.,513,824,334,,,695,2056,772,754
12:25 p.m. to 12:29 p.m.,530,819,468,1107,2070,790,4226,824,583
12:30 p.m. to 12:34 p.m.,523,793,873,0,471,697,0,974,742
12:35 p.m. to 12:39 p.m.,486,719,965,0,,312,1084,911,555
12:40 p.m. to 12:44 p.m.,499,556,1038,,,586,2202,639,786
12:45 p.m. to 12:49 p.m.,550,654,1011,0,,577,0,946,747
12:50 p.m. to 12:54 p.m.,469,630,991,0,664,564,0,692,372
12:55 p.m. to 12:59 p.m.,528,805,309,0,827,504,0,727,531
1:00 p.m. to 1:04 p.m.,464,676,23,,0,494,1410,927,824
1:05 p.m. to 1:09 p.m.,463,577,230,0,219,764,0,410,722
1:10 p.m. to 1:14 p.m.,573,737,1420,0,0,474,0,1079,748
1:15 p.m. to 1:19 p.m.,553,764,254,0,0,745,822,1130,697
1:20 p.m. to 1:24 p.m.,507,737,335,,,510,984,762,652
1:25 p.m. to 1:29 p.m.,463,515,1206,,,506,0,1081,532
1:30 p.m. to 1:34 p.m.,502,678,622,,900,512,1183,789,815
1:35 p.m. to 1:39 p.m.,463,765,425,,0,842,0,672,799
1:40 p.m. to 1:44 p.m.,448,737,406,0,1146,453,1413,896,809
1:45 p.m. to 1:49 p.m.,468,807,573,0,666,599,108,782,559
1:50 p.m. to 1:54 p.m.,468,771,1127,0,1713,711,1104,836,780
1:55 p.m. to 1:59 p.m.,522,746,609,,304,358,1809,966,624
2:00 p.m. to 2:04 p.m.,475,729,713,716,0,452,640,694,691
2:05 p.m. to 2:09 p.m.,475,767,581,0,712,530,1002,488,774
2:10 p.m. to 2:14 p.m.,458,725,86,,654,828,1764,740,733
2:15 p.m. to 2:19 p.m.,451,874,534,,411,615,1197,701,585
2:20 p.m. to 2:24 p.m.,428,714,487,,1474,726,976,673,730
2:25 p.m. to 2:29 p.m.,511,750,626,,0,509,1340,740,505
2:30 p.m. to 2:34 p.m.,413,807,462,0,1077,428,90,827,608
2:35 p.m. to 2:39 p.m.,447,630,881,,1442,715,770,942,661
2:40 p.m. to 2:44 p.m.,484,716,940,680,1048,699,1633,936,833
2:45 p.m. to 2:49 p.m.,459,768,286,,2409,649,855,771,683
2:50 p.m. to 2:54 p.m.,508,674,920,,,414,469,791,755
2:55 p.m. to 2:59 p.m.,442,742,478,,0,414,862,663,766
3:00 p.m. to 3:04 p.m.,494,706,795,0,1558,524,1906,1066,663
3:05 p.m. to 3:09 p.m.,467,733,956,0,1152,896,701,755,741
3:10 p.m. to 3:14 p.m.,464,806,567,0,1090,671,1714,796,719
3:15 p.m. to 3:19 p.m.,482,745,757,0,1040,799,641,817,639
3:20 p.m. to 3:24 p.m.,534,894,502,,2134,712,960,1010,787
3:25 p.m. to 3:29 p.m.,446,779,595,,0,708,,996,717
3:30 p.m. to 3:34 p.m.,484,924,531,,242,621,1207,881,807
3:35 p.m. to 3:39 p.m.,447,854,251,1958,0,629,996,890,649
3:40 p.m. to 3:44 p.m.,484,784,833,0,209,547,0,817,638
3:45 p.m. to 3:49 p.m.,473,714,1227,1020,495,647,1348,788,640
3:50 p.m. to 3:54 p.m.,475,748,505,,618,608,280,709,603
3:55 p.m. to 3:59 p.m.,458,682,721,0,,582,1761,743,679
4:00 p.m. to 4:04 p.m.,514,746,540,,1726,644,1089,983,698
4:05 p.m. to 4:09 p.m.,426,734,755,,1563,744,2297,677,541
4:10 p.m. to 4:14 p.m.,459,805,316,,503,461,1132,950,640
4:15 p.m. to 4:19 p.m.,416,741,692,,2130,502,849,901,719
