Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: PWGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
9:55 a.m. to 9:59 a.m.,47150,44059,40881,20157,504703,70890,56166,39574,40912
10:00 a.m. to 10:04 a.m.,57018,42441,40199,40783,30237,66453,48641,39864,42299
10:05 a.m. to 10:09 a.m.,47475,33612,23780,16971,72000,56231,39543,31880,41047
10:10 a.m. to 10:14 a.m.,47442,37367,52814,24273,38738,65027,49402,27666,38462
10:15 a.m. to 10:19 a.m.,51567,39973,17346,33087,56525,63252,51337,29315,37319
10:20 a.m. to 10:24 a.m.,51312,38021,34468,,13361,76212,42635,33172,42484
10:25 a.m. to 10:29 a.m.,48015,41404,32964,45400,27176,67175,19109,31466,43588
10:30 a.m. to 10:34 a.m.,55624,39096,30970,2300,12508,63879,72640,33452,39484
10:35 a.m. to 10:39 a.m.,49520,34171,22326,,25725,58166,56000,33829,38109
10:40 a.m. to 10:44 a.m.,51034,33937,30793,,58763,54753,22311,30170,42329
10:45 a.m. to 10:49 a.m.,42953,35903,25225,,29527,55335,52713,30322,33961
10:50 a.m. to 10:54 a.m.,37315,31845,20905,15173,55162,59428,28554,36093,44997
10:55 a.m. to 10:59 a.m.,36175,31762,27283,1400,27532,50758,6450,26020,30122
11:00 a.m. to 11:04 a.m.,45034,37987,38413,640,27467,53120,39368,34040,46619
11:05 a.m. to 11:09 a.m.,35624,26471,39560,5600,36961,53126,10295,36883,30371
11:10 a.m. to 11:14 a.m.,40111,40393,34211,,38957,47906,53816,26231,34799
11:15 a.m. to 11:19 a.m.,40633,32467,28654,,13717,43525,7800,28049,35238
11:20 a.m. to 11:24 a.m.,48591,36446,25438,,29000,51033,73571,33044,41158
11:25 a.m. to 11:29 a.m.,43545,40489,28136,,,43311,41584,34565,44600
11:30 a.m. to 11:34 a.m.,49089,32436,22428,52794,45817,48763,40038,30667,40569
11:35 a.m. to 11:39 a.m.,39443,38012,24809,39400,,39219,3600,24896,30150
11:40 a.m. to 11:44 a.m.,45212,34924,29442,,39295,55457,22908,33494,27994
11:45 a.m. to 11:49 a.m.,42130,39721,36839,,7667,53420,503000,31902,32397
11:50 a.m. to 11:54 a.m.,41684,33441,23521,99333,30069,67815,36615,35320,37192
11:55 a.m. to 11:59 a.m.,32926,35312,29529,,,35851,39066,24477,29843
12:00 p.m. to 12:04 p.m.,39893,33549,29779,28979,5326,64185,12841,35302,31718
12:05 p.m. to 12:09 p.m.,31557,35196,26899,12918,27852,38093,64000,29643,31573
12:10 p.m. to 12:14 p.m.,33854,33429,39768,0,25228,33923,,23405,32306
12:15 p.m. to 12:19 p.m.,36901,25948,31197,,34166,45320,8110,30941,31323
12:20 p.m. to 12:24 p.m.,43221,34748,46399,,,54735,45954,31903,48308
12:25 p.m. to 12:29 p.m.,43514,41088,53429,6000,30000,39525,14258,35260,29324
12:30 p.m. to 12:34 p.m.,41996,42240,39510,26000,47464,47899,54354,32881,35918
12:35 p.m. to 12:39 p.m.,34524,35328,10645,17500,,48680,67453,26281,27436
12:40 p.m. to 12:44 p.m.,37316,32844,11725,,,48530,10903,37913,24558
12:45 p.m. to 12:49 p.m.,41903,32911,48489,19900,,47361,9400,36314,40594
12:50 p.m. to 12:54 p.m.,35775,38106,27310,39800,18063,38941,19000,37248,27997
12:55 p.m. to 12:59 p.m.,33283,41640,31553,18107,12877,31440,17000,39552,33771
1:00 p.m. to 1:04 p.m.,35181,33674,19844,,40516,53112,30355,29999,33234
1:05 p.m. to 1:09 p.m.,30373,23477,25123,8490,24773,48530,200000,31008,30481
1:10 p.m. to 1:14 p.m.,33543,29347,41079,5486,114557,37234,25550,27598,26271
1:15 p.m. to 1:19 p.m.,34859,31342,41748,64000,24300,39435,40703,26795,35779
1:20 p.m. to 1:24 p.m.,37934,35898,35990,,,39740,46850,31345,28573
1:25 p.m. to 1:29 p.m.,41180,36710,21211,,,38065,65000,51869,36946
1:30 p.m. to 1:34 p.m.,39634,36751,40465,,20786,50642,8833,32843,38663
1:35 p.m. to 1:39 p.m.,37906,31487,37046,,146600,37894,30000,40317,31376
1:40 p.m. to 1:44 p.m.,41345,40290,42206,48631,87865,30145,22000,30948,38202
1:45 p.m. to 1:49 p.m.,36952,33906,50938,9000,36684,48455,35293,41897,33531
1:50 p.m. to 1:54 p.m.,35861,35259,24147,10000,31340,51402,26217,28882,33287
1:55 p.m. to 1:59 p.m.,31688,36961,50466,,9028,54039,32010,25409,34174
2:00 p.m. to 2:04 p.m.,34912,41086,28969,13433,89850,53463,51730,33317,34778
2:05 p.m. to 2:09 p.m.,35191,26765,28408,20800,22208,47099,42534,33218,31294
2:10 p.m. to 2:14 p.m.,34836,32922,18829,,37811,40931,23667,30329,29487
2:15 p.m. to 2:19 p.m.,35071,31141,40591,,32059,35132,53933,39750,29702
2:20 p.m. to 2:24 p.m.,35046,32972,24497,,48452,39045,32722,31426,30833
2:25 p.m. to 2:29 p.m.,41092,34675,24827,,26000,46295,14700,37836,35941
2:30 p.m. to 2:34 p.m.,39306,45014,39013,33300,26256,48529,42041,34474,40631
