Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
2:35 p.m. to 2:39 p.m.,39,40,24,,20,43,25,39,37
2:40 p.m. to 2:44 p.m.,38,39,37,27,36,42,53,37,34
2:45 p.m. to 2:49 p.m.,39,39,37,,29,41,33,42,38
2:50 p.m. to 2:54 p.m.,39,41,28,,,41,26,37,35
2:55 p.m. to 2:59 p.m.,37,39,29,,33,42,45,38,32
3:00 p.m. to 3:04 p.m.,37,41,42,34,39,41,39,37,35
3:05 p.m. to 3:09 p.m.,35,36,27,46,39,40,30,33,32
3:10 p.m. to 3:14 p.m.,35,36,38,33,32,38,37,33,31
3:15 p.m. to 3:19 p.m.,36,39,28,60,27,36,32,36,32
3:20 p.m. to 3:24 p.m.,38,37,32,,26,41,31,34,35
3:25 p.m. to 3:29 p.m.,36,37,28,,19,39,,37,37
3:30 p.m. to 3:34 p.m.,37,40,41,,38,39,32,37,35
3:35 p.m. to 3:39 p.m.,34,36,35,17,43,39,43,36,31
3:40 p.m. to 3:44 p.m.,34,39,31,26,35,41,25,34,32
3:45 p.m. to 3:49 p.m.,34,37,30,26,39,38,31,35,34
3:50 p.m. to 3:54 p.m.,33,38,28,,24,42,43,36,32
3:55 p.m. to 3:59 p.m.,31,34,25,25,,30,28,31,29
4:00 p.m. to 4:04 p.m.,33,37,31,,26,41,31,35,32
4:05 p.m. to 4:09 p.m.,30,34,32,,50,36,35,32,27
4:10 p.m. to 4:14 p.m.,31,34,30,,25,35,30,31,29
4:15 p.m. to 4:19 p.m.,33,32,30,,37,39,41,32,31
4:20 p.m. to 4:24 p.m.,35,37,37,26,72,38,29,34,33
4:25 p.m. to 4:29 p.m.,34,35,34,,55,38,,35,29
4:30 p.m. to 4:34 p.m.,37,39,40,34,32,39,27,36,34
4:35 p.m. to 4:39 p.m.,36,40,37,35,16,39,38,34,32
4:40 p.m. to 4:44 p.m.,35,34,38,62,41,40,57,37,31
4:45 p.m. to 4:49 p.m.,35,37,39,,35,37,40,36,34
4:50 p.m. to 4:54 p.m.,34,34,32,,73,37,40,32,31
4:55 p.m. to 4:59 p.m.,32,35,22,47,52,31,36,32,31
5:00 p.m. to 5:04 p.m.,34,37,29,62,33,43,43,35,32
5:05 p.m. to 5:09 p.m.,32,31,28,38,18,36,18,32,26
5:10 p.m. to 5:14 p.m.,33,33,30,,51,34,57,34,32
5:15 p.m. to 5:19 p.m.,35,36,25,,51,36,22,34,32
5:20 p.m. to 5:24 p.m.,36,37,35,,29,38,30,36,34
5:25 p.m. to 5:29 p.m.,36,39,47,,32,43,58,35,32
5:30 p.m. to 5:34 p.m.,38,40,39,,32,39,28,37,34
5:35 p.m. to 5:39 p.m.,39,39,27,,61,34,17,34,34
5:40 p.m. to 5:44 p.m.,38,39,40,,,39,44,35,36
5:45 p.m. to 5:49 p.m.,38,36,39,,36,40,26,35,35
5:50 p.m. to 5:54 p.m.,38,40,39,,,41,42,40,34
5:55 p.m. to 5:59 p.m.,36,34,47,,66,42,43,37,36
6:00 p.m. to 6:04 p.m.,39,40,39,,45,39,31,39,35
6:05 p.m. to 6:09 p.m.,37,40,36,,41,31,,38,36
6:10 p.m. to 6:14 p.m.,38,40,40,56,30,38,26,36,32
6:15 p.m. to 6:19 p.m.,39,40,32,,28,38,37,39,37
6:20 p.m. to 6:24 p.m.,39,39,36,30,56,39,,38,35
6:25 p.m. to 6:29 p.m.,39,40,24,,,41,25,38,38
6:30 p.m. to 6:34 p.m.,39,41,39,40,,43,59,39,38
6:35 p.m. to 6:39 p.m.,39,39,49,,,41,42,36,39
6:40 p.m. to 6:44 p.m.,39,39,36,,52,41,25,38,36
6:45 p.m. to 6:49 p.m.,37,43,43,,52,44,26,35,40
6:50 p.m. to 6:54 p.m.,39,40,31,34,61,41,45,37,36
